confuser_pkg,target_pkg,signals
booto3,boto3,Character Added: o;Character Added: o;Containing Character Added: o;Containing Character Added: o;Letter Duplicated: o
botoo3,boto3,Character Added: o;Character Added: o;Containing Character Added: o;Containing Character Added: o;Letter Duplicated: o
boto3r,boto3,Character Added: r;Close Letters on QWERTY Keyboard, added to end: boto3 => r
botoy,boto3,Character Replaced: y
botor,boto3,Character Replaced: r;Close Letters on QWERTY Keyboard: 3 => r
aboto3,boto3,Character Added: a
boto4,boto3,Character Replaced: 4;Close Letters on QWERTY Keyboard: 3 => 4
oboto3,boto3,Character Added: o;Containing Character Added: o
botoa,boto3,Character Replaced: a
voto3,boto3,Character Replaced: v;Close Letters on QWERTY Keyboard: b => v
botox,boto3,Character Replaced: x
xoto3,boto3,Character Replaced: x
botok,boto3,Character Replaced: k
boto2,boto3,Character Replaced: 2;Close Letters on QWERTY Keyboard: 3 => 2
botocove,botocore,Character Replaced: v
botocote,botocore,Character Replaced: t;Close Letters on QWERTY Keyboard: r => t
botocoree,botocore,Character Added: e;Character Added: e;Containing Character Added: e;Containing Character Added: e;Letter Duplicated: e;Letter Duplicated and Replaced
kotocore,botocore,Character Replaced: k
urllib5,urllib3,Character Replaced: 5
urllib33,urllib3,Character Added: 3;Character Added: 3;Containing Character Added: 3;Containing Character Added: 3;Letter Duplicated: 3;Letter Duplicated and Replaced;Suffix Added: 3
urelib3,urllib3,Character Replaced: e
urllib-3,urllib3,Character Added: -
urolib3,urllib3,Character Replaced: o;Close Letters on QWERTY Keyboard: l => o
urklib3,urllib3,Character Replaced: k;Close Letters on QWERTY Keyboard: l => k
zetuptools,setuptools,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
requesxts,requests,Character Added: x
request2,requests,Character Replaced: 2
reduests,requests,Ascii Homoglpyh: q => d;Character Replaced: d
requests3,requests,Character Added: 3;Suffix Added: 3
ruquests,requests,Character Replaced: u;Swap Vowel: e => u
requests5,requests,Character Added: 5;Suffix Added: 5
trequests,requests,Character Added: t;Containing Character Added: t;Double hit character: t
requestes,requests,Character Added: e;Containing Character Added: e;Double hit character: e
requesfs,requests,Ascii Homoglpyh: t => f;Character Replaced: f;Close Letters on QWERTY Keyboard: t => f
srequests,requests,Character Added: s;Containing Character Added: s
reqyests,requests,Character Replaced: y;Swap Vowel: u => y;Close Letters on QWERTY Keyboard: u => y
reauests,requests,Ascii Homoglpyh: q => a;Character Replaced: a;Close Letters on QWERTY Keyboard: q => a
rrquests,requests,Letter Duplicated and Replaced: r;Character Replaced: r;Close Letters on QWERTY Keyboard: e => r
recuests,requests,Character Replaced: c
requtests,requests,Character Added: t;Containing Character Added: t
requestz,requests,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
request,requests,Character Removed: 7 ('s');Suffix Removed: s
xrequests,requests,Character Added: x;Prefix Added: x;Prefix Added: X
requesuts,requests,Character Added: u;Containing Character Added: u
pequests,requests,Character Replaced: p
requssts,requests,Character Replaced: s;Close Letters on QWERTY Keyboard: e => s
rwquests,requests,Character Replaced: w;Close Letters on QWERTY Keyboard: e => w
reaquests,requests,Character Added: a;Double hit character: a
requects,requests,Character Replaced: c;Close Letters on QWERTY Keyboard: s => c
erequests,requests,Character Added: e;Containing Character Added: e;Double hit character: e
yrequests,requests,Character Added: y
requezts,requests,Character Replaced: z;Close Letters on QWERTY Keyboard: s => z
crequests,requests,Character Added: c
drequests,requests,Character Added: d;Double hit character: d
requestx,requests,Character Replaced: x;Close Letters on QWERTY Keyboard: s => x
arequests,requests,Character Added: a
requewsts,requests,Character Added: w;Double hit character: w
req7ests,requests,Character Replaced: 7;Close Letters on QWERTY Keyboard: u => 7
reqwests,requests,Character Replaced: w
mrequests,requests,Character Added: m
hrequests,requests,Character Added: h
requests2,requests,Character Added: 2;Suffix Added: 2
reeuests,requests,Letter Duplicated and Replaced: e;Character Replaced: e
rdquests,requests,Character Replaced: d;Close Letters on QWERTY Keyboard: e => d
urequests,requests,Character Added: u;Containing Character Added: u
certife,certifi,Character Replaced: e;Swap Vowel: i => e
certefi,certifi,Character Replaced: e;Swap Vowel: i => e
certifie,certifi,Character Added: e;Containing Character Added: e
pckaging,packaging,Character Removed: 1 ('a')
packaging2,packaging,Character Added: 2;Suffix Added: 2
dina,idna,Letters Swapped
dna,idna,Character Removed: 0 ('i')
jdna,idna,Ascii Homoglpyh: i => j;Bit Flips: Byte 0, Bit 1;Character Replaced: j;Close Letters on QWERTY Keyboard: i => j
ddna,idna,Character Replaced: d
vdna,idna,Bit Flips: Byte 0, Bit 4;Bit Flips: Byte 0, Bit 5;Character Replaced: v
idena,idna,Character Added: e
idta,idna,Character Replaced: t
harset-normalizer,charset-normalizer,Character Removed: 0 ('c')
normalizer,charset-normalizer,Separated Section Removed: 0 ('c')
charset,charset-normalizer,Separated Section Removed: 1 ('h')
extensions,typing-extensions,Separated Section Removed: 0 ('t')
typing-extension,typing-extensions,Character Removed: 16 ('s');Suffix Removed: s
python-dateuitl,python-dateutil,Letters Swapped
pythondateutil,python-dateutil,Character Removed: 6 ('-');Separator Removed -
sctransfer,s3transfer,Character Replaced: c
s3trnasfer,s3transfer,Letters Swapped
s3transferg,s3transfer,Character Added: g;Close Letters on QWERTY Keyboard, added to end: s3transfer => g
s4transfer,s3transfer,Character Replaced: 4;Close Letters on QWERTY Keyboard: 3 => 4
s3transferp,s3transfer,Character Added: p
s3transffr,s3transfer,Letter Duplicated and Replaced: f;Character Replaced: f;Close Letters on QWERTY Keyboard: e => f
aio-botocore,aiobotocore,Character Added: -
status,grpcio-status,Separated Section Removed: 0 ('g')
pypaml,PyYAML,Character Replaced: p
pyyarl,PyYAML,Character Replaced: r
pyyal,PyYAML,Character Removed: 4 ('m')
pyyaxml,PyYAML,Character Added: x
pyyama,PyYAML,Character Replaced: a
pyyawl,PyYAML,Character Replaced: w
sixl,six,Character Added: l
ssx,six,Letter Duplicated and Replaced: s;Character Replaced: s
si,six,Character Removed: 2 ('x');Suffix Removed: x
smx,six,Character Replaced: m
ix,six,Character Removed: 0 ('s')
siu,six,Character Replaced: u
siux,six,Character Added: u
sin,six,Character Replaced: n
sic,six,Character Replaced: c;Close Letters on QWERTY Keyboard: x => c
six-python,six,Suffix Added: -python
dix,six,Character Replaced: d;Close Letters on QWERTY Keyboard: s => d
siq,six,Character Replaced: q
kix,six,Character Replaced: k
