confuser_pkg,target_pkg,signals
awsgi,a2wsgi,Character Removed: 1 ('2')
m2wsgi,a2wsgi,Character Replaced: m
aaargs,aaargh,Character Replaced: s
yaargh,aaargh,Character Replaced: y;Swap Vowel: a => y
adict,aadict,Character Removed: 0 ('a');Character Removed: 1 ('a')
addict,aadict,Character Replaced: d
atdict,aadict,Character Replaced: t
yadict,aadict,Character Replaced: y;Swap Vowel: a => y
audict,aadict,Character Replaced: u;Swap Vowel: a => u
arcli,abcli,Character Replaced: r
abclf,abcli,Character Replaced: f
bcli,abcli,Character Removed: 0 ('a')
acli,abcli,Character Removed: 1 ('b')
labcli,abcli,Character Added: l;Containing Character Added: l
xbcli,abcli,Character Replaced: x;Close Letters on QWERTY Keyboard: a => x
bacli,abcli,Letters Swapped
aicli,abcli,Character Replaced: i
fbcli,abcli,Bit Flips: Byte 0, Bit 2;Character Replaced: f
ebcli,abcli,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
aocli,abcli,Character Replaced: o
tbcli,abcli,Character Replaced: t
cbcli,abcli,Character Replaced: c
sbcli,abcli,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
alcli,abcli,Character Replaced: l
bbcli,abcli,Bit Flips: Byte 0, Bit 1;Character Replaced: b
abcai,abcli,Character Replaced: a
ancli,abcli,Character Replaced: n;Close Letters on QWERTY Keyboard: b => n
ajcli,abcli,Character Replaced: j
akcli,abcli,Character Replaced: k
agcli,abcli,Character Replaced: g;Close Letters on QWERTY Keyboard: b => g
accli,abcli,Character Replaced: c
obcli,abcli,Ascii Homoglpyh: a => o;Character Replaced: o;Swap Vowel: a => o
atcli,abcli,Character Replaced: t
abci,abcli,Character Removed: 3 ('l')
nbcli,abcli,Bit Flips: Byte 0, Bit 3;Character Replaced: n
aby,ably,Character Removed: 2 ('l')
abby,ably,Letter Duplicated and Replaced: b;Character Replaced: b
able,ably,Character Replaced: e;Swap Vowel: y => e
tably,ably,Character Added: t
aly,ably,Character Removed: 1 ('b')
ablk,ably,Character Replaced: k
abfy,ably,Character Replaced: f
abxy,ably,Character Replaced: x
gbnf,abnf,Character Replaced: g
abf,abnf,Character Removed: 2 ('n')
ebnf,abnf,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
tbnf,abnf,Character Replaced: t
rbnf,abnf,Character Replaced: r
abfn,abnf,Letters Swapped
kbnf,abnf,Character Replaced: k
bnf,abnf,Character Removed: 0 ('a')
abna,abnf,Character Replaced: a
about,about-time,Separated Section Removed: 1 ('b')
abupy,abqpy,Character Replaced: u
abq,abqpy,Suffix Removed: py
abcpy,abqpy,Character Replaced: c
abspy,abqpy,Character Replaced: s;Close Letters on QWERTY Keyboard: q => s
abqcy,abqpy,Character Replaced: c
abipy,abqpy,Character Replaced: i
amqpy,abqpy,Character Replaced: m
ab-py,abqpy,Character Replaced: -
aiqpy,abqpy,Character Replaced: i
py,absl-py,Separated Section Removed: 0 ('a')
abstar,abstra,Letters Swapped
abstract-api,abstract-ai,Character Added: p
ai,abstract-ai,Separated Section Removed: 0 ('a')
abstract,abstract-ai,Separated Section Removed: 1 ('b')
abstract,abstract-singleton,Separated Section Removed: 1 ('b')
singleton,abstract-singleton,Separated Section Removed: 0 ('a')
abstract,abstract-solcatcher,Separated Section Removed: 1 ('b')
cachecontrol,acachecontrol,Character Removed: 0 ('a')
access,access-parser,Separated Section Removed: 1 ('c')
iaccess,access,Character Added: i
amcess,access,Character Replaced: m
accessi,access,Character Added: i
access-control,AccessControl,Character Added: -
pygments,accessible-pygments,Separated Section Removed: 0 ('a')
acd-tools,ace-tools,Character Replaced: d;Close Letters on QWERTY Keyboard: e => d
tools,ace-tools,Separated Section Removed: 0 ('a')
ace,ace-tools,Separated Section Removed: 1 ('c')
fch,ach,Bit Flips: Byte 0, Bit 2;Character Replaced: f
ah,ach,Character Removed: 1 ('c')
achn,ach,Character Added: n;Close Letters on QWERTY Keyboard, added to end: ach => n
mach,ach,Character Added: m
acp,ach,Character Replaced: p
a2h,ach,Character Replaced: 2
acd,ach,Character Replaced: d
sch,ach,Character Replaced: s;Close Letters on QWERTY Keyboard: a => s
cch,ach,Character Replaced: c
ahc,ach,Letters Swapped
zach,ach,Character Added: z;Double hit character: z
acr,ach,Character Replaced: r
aih,ach,Character Replaced: i
acf,ach,Character Replaced: f
pch,ach,Character Replaced: p
awh,ach,Character Replaced: w
tach,ach,Character Added: t
acb,ach,Ascii Homoglpyh: h => b;Character Replaced: b;Close Letters on QWERTY Keyboard: h => b
acl,ach,Character Replaced: l
wch,ach,Character Replaced: w;Close Letters on QWERTY Keyboard: a => w
aah,ach,Letter Duplicated and Replaced: a;Character Replaced: a
4ch,ach,Ascii Homoglpyh: a => 4;Character Replaced: 4
acq,ach,Character Replaced: q
arh,ach,Character Replaced: r
acs,ach,Character Replaced: s
acg,ach,Character Replaced: g;Close Letters on QWERTY Keyboard: h => g
aich,ach,Character Added: i
each,ach,Character Added: e
aca,ach,Character Replaced: a
ac,ach,Character Removed: 2 ('h')
bach,ach,Character Added: b
acc,ach,Character Replaced: c
ch,ach,Character Removed: 0 ('a')
aph,ach,Character Replaced: p
ech,ach,Ascii Homoglpyh: a => e;Character Replaced: e;Swap Vowel: a => e
acnh,ach,Character Added: n;Double hit character: n
arch,ach,Character Added: r
aco,ach,Character Replaced: o
rch,ach,Character Replaced: r
bch,ach,Bit Flips: Byte 0, Bit 1;Character Replaced: b
ace,ach,Character Replaced: e
yach,ach,Character Added: y
aci,ach,Character Replaced: i
lch,ach,Character Replaced: l
abh,ach,Character Replaced: b
ahh,ach,Character Replaced: h
acie,acme,Character Replaced: i
acte,acme,Character Replaced: t
acmepy,acme,Suffix Added: py
acml,acme,Character Replaced: l
acmen,acme,Character Added: n
came,acme,Letters Swapped
acmd,acme,Character Replaced: d;Close Letters on QWERTY Keyboard: e => d
aime,acme,Character Replaced: i
acre,acme,Character Replaced: r
mcme,acme,Character Replaced: m
aqme,acme,Character Replaced: q
ace,acme,Character Removed: 2 ('m')
ame,acme,Character Removed: 1 ('c')
acousticspy,acoustics,Suffix Added: py
aces,acres,Character Removed: 2 ('r')
acris,acres,Character Replaced: i;Swap Vowel: e => i
apres,acres,Character Replaced: p
acre,acres,Character Removed: 4 ('s');Suffix Removed: s
acros,acres,Ascii Homoglpyh: e => o;Character Replaced: o;Swap Vowel: e => o
ares,acres,Character Removed: 1 ('c')
acryl-datahub,acryl-datahub-classify,Separated Section Removed: 2 ('r')
datahub,acryl-datahub,Separated Section Removed: 0 ('a')
sqlglot,acryl-sqlglot,Separated Section Removed: 0 ('a')
actions,actions-toolkit,Separated Section Removed: 1 ('c')
toolkit,actions-toolkit,Separated Section Removed: 0 ('a')
url,ada-url,Separated Section Removed: 0 ('a')
dagio,adagio,Character Removed: 0 ('a')
adagios,adagio,Character Added: s;Suffix Added: s
adax,adal,Character Replaced: x
adval,adal,Character Added: v
amal,adal,Character Replaced: m
adul,adal,Character Replaced: u;Swap Vowel: a => u
