target_pkg,confuser_pkgs
boto3,booto3;botoo3;boto3r;botoy;botor;aboto3;boto4;oboto3;botoa;voto3;botox;xoto3;botok;boto2
botocore,botocove;botocote;botocoree;kotocore
urllib3,urllib5;urllib33;urelib3;urllib-3;urolib3;urklib3
setuptools,zetuptools
requests,requesxts;request2;reduests;requests3;ruquests;requests5;trequests;requestes;requesfs;srequests;reqyests;reauests;rrquests;recuests;requtests;requestz;request;xrequests;requesuts;pequests;requssts;rwquests;reaquests;requects;erequests;yrequests;requezts;crequests;drequests;requestx;arequests;requewsts;req7ests;reqwests;mrequests;hrequests;requests2;reeuests;rdquests;urequests
certifi,certife;certefi;certifie
packaging,pckaging;packaging2
idna,dina;dna;jdna;ddna;vdna;idena;idta
charset-normalizer,harset-normalizer;normalizer;charset
typing-extensions,extensions;typing-extension
python-dateutil,python-dateuitl;pythondateutil
s3transfer,sctransfer;s3trnasfer;s3transferg;s4transfer;s3transferp;s3transffr
aiobotocore,aio-botocore
grpcio-status,status
PyYAML,pypaml;pyyarl;pyyal;pyyaxml;pyyama;pyyawl
six,sixl;ssx;si;smx;ix;siu;siux;sin;sic;six-python;dix;siq;kix;s3x;sis;sbx;aix;sux;lix;sih;shx;sio;sil;scix;sax;sigx;sgx;esix;spix;scx;vix;spx;hix;stx;simx;isx;sx;sif;uix;mix;fix;sii;snx
numpy,zumpy;numpi;wumpy;xnumpy;numpy6;nsmpy;numpypy;numqy;umpy;bumpy;ncmpy;numpyx;nempy;rnumpy;nompy;rumpy;dumpy;snumpy;humpy;numpsy;gnumpy;numjpy;numfy;numpy4;nump5y;numppy;nmpy;pnumpy;nlmpy;unumpy;nuvpy;nump;jumpy;vnumpy;pumpy;gumpy;numpy3;numspy;numsy;numphy;nupy;sumpy;nutpy;numpyk;nuumpy;jnumpy
wheel,heel;wheelz;wheelr;wheeel;fwheel;swheel
fsspec,msspec;fspec;rfsspec
s3fs,k3fs;s3f;sfs;s3os;sdfs;s3ts;spfs
pip,pit;pcp;yip;pipa;zip;pii;plip;2ip;pipi;pipd;tip;piq;php;pipo;pkp;eip;pyp;pzp;pap;pip6;pi3;gpip;pyip;ppp;vpip;pipm;jip;jpip;pzip;pipf;ppi;gip;fip;pipr;cpip;pim;piy;pipq;pijp;pbp;pup;rip;prp;piep;pfp;pwp;pinp;pipl;lpip;pis;pvp;pig;pia;lip;spip;mpip;pir;rpip;pipw;pib;pipp;pippy;pqp;pif;p2p;pih;pimp;pp;pjp;pio;pi4;dip;pnp;pxp;pop;kip;piv;apip;psp;pipz;cip;pin;pdip;pdp;ipp;vip
cryptography,cryptographys;cryptogaphy;cryptograpy;crytography;cryptograohy
pydantic,pedantic;pidantic;dydantic;pydjantic;pydentic;cydantic;pydbantic;pydastic
attrs,attrd;attr.s;nattrs;aptrs;attrz;xattrs;atts;uttrs;attres;mattrs;asttrs;attis
cffi,caffi;cffm;cff;cefi;cfft;cffii;cfai;cyfi;cffs;cofi;cffy
pycparser,pyparser;pycparserr;pydparser;cycparser;pycparsre;pacparser
click,clict;click8;clisk;cpick;clack;clik;clicz;dclick;clicks;clirk;clicky;aclick;clic;clock;nclick;clickd;clickpy;clicr;pclick;clck;clico;clink;crick;flick;lick
pandas,pandas2;pandag;pandan;upandas;mpandas;pandaq;paandas;pyndas;pandaa;pandans;pandos;spandas;pandass;panddas;kpandas;pandavs;psndas;panndas;bandas;panvas;padnas;fpandas;ipandas;pandus;panadas;pandaz
jmespath,jmespaths;jmspath;rjmespath
importlib-metadata,metadata
colorama,colorsama;colotama;cilorama;colorema
zipp,zapp;zipd;ipp;zippy;mipp;zipa;zipr;zipe;kipp;zimp;zip3;zpp;zipg;dipp;zippo;zipo;pipp;aipp;zipf;bipp;zipy;zip
