target_pkg,confuser_pkgs
boto3,bttt99;typed-boto3;bad4u;botoa;bida;b64uuid;BioID;botoo3;boto3-type;bda3;boto2;booto3;mock-boto3;beet;bitte;batt;badoo;body;beauty;oboto3;bttt;Beoit;bulkboto3;bet365;bt856a;boto3r;easy-boto3;boto3form;boothy;obot;boat;bowtie;bo;baeuda;bait;badai;boty;bdai;boto3-paste;botoy;bbuddy;bioodo;btoa;bade;budy;beat;boto4;bodo;baet;bote;bottt;byte;budou;BD103;buteo;bout;Botte;buddy;bda2020239019;betty;batou;butt;bioTEA;baato;txboto3;aboto3;badd;bayte;bioat;o3;bit8;boto3-retry;beout;beta9;baidu;bot4;bouto;bearboto3;boto3-utils;batty;byot;beta;bitty;bbat;boto3auth;bota;boot;bode;booty;biota
botocore,rasp-botocore;aio-botocore;botocore-paste;iamzero-botocore;botocorev063p;botocore-tornado;botocore-a-la-carte;botocore-types;botocore-meiqia;tornado-botocore;botocoree
urllib3,urllib33;urllib3-request;simpleurllib3;urllib3-1-26-2;url;urllib3-fixed;urllib3-sigv4;lib3;urllib3-odigos
setuptools,setuptools-git-ls-files;ptools;setuputils3;setuptools-scss;sq-setuptools;setuptools-cython;setuptools-markdown;setuptools-git-ver;setuptools-scm-about;setuptools-epydoc;setuptools-pep660;setuptools-py2cfg;tox-setuptools;humblesetuptools;setuptools-cythonize;setuptools-twine;lxml-cffi;setuptools-changelog;setuputils;nbsetuptools;setuptools-i18n;setuptools-bower;setuptls;setuptools-pyecore;setu;pytest-pypi;setuptools-gitver;setuptools-ext;setuptools-node;setuptools-antlr;setuptools-docker;setuptools-pipfile;setuptools-shim;distutils-pytest;setuptools-black;setuptools-cmd-deps;sat5ptools;setuptools-cpp-cuda;setuptools-metadata;python2;setuptools-bin-targets;steptools;setuptools-wrapper;dephell-setuptools;setuptools-flakes;bd-bdsetuptools;setuptools-bzr;setuptools-scm-custom;glue-setuptools;setuptools-ocrd;setuptools-webpack;setuptools-zig;setuptools-npm;conda-pypi;setuptools-trial;setuptools-pybind11;setuptools-dummy;setuptools-cmake;setuptools-grpcio;setuptools-generate;ppsetuptools;uptools;setuptools-darcs;setuptools-qmesh;setuptools-template;nuitka-setuptools;notsetuptools;setuptools-ziglang;cmake-setuptools;setuptools-gettext;setuptools-protobuf;setuptools-yaml;setuptools-cuda-cpp;setuptools-autover;setuptools-pyflakes;setuptools-monorepo;setuptools-ci;setuptools-cuda;setuptools-scrutinize;setuptools-pkg;setuptools-lint;setuptools-pep8;protobuf-setuptools;test-numpy-setuptools;cython-setuptools;steputils;setuptools-sky;setuptools-cmmi;setuptools-test;lyncs-setuptools;setuptools-cpp;perfting.setuptools;setuptools-depsutil;setuptools-scm-old;setuptools-subversion;setuptools-sloccount;setuptools-freeze;setuptools-github;restorm-setuptools;setuptools-mtn;setuptools-green;setuptools-proto;setuptools-tasks;setuptools-svn;sdputils;setuptools-hg;lambda-setuptools;setuptools-grpc;setuptools-scm-semver;setuptools-git-details;setuptools-parcels;setuptools-webdav;setuptools-golang;toolssetup
requests,rust-requests;proxy-requests;snmp-requests;thor-requests;requests-facebook;requests-raw;requests-SSL-v3;jfbrequests;requests-ccwienk;requests-lite;requests-selenium;quests;requestz;requestssecurity;requests-cpp;dubborequests;requests-oauth2;requests-wrapper;requests-twisted;patch-requests;curl-to-requests;drfrequests;logged-requests;requests-pelican;requests-gracedb;gevent-requests;envoy-requests;upcdb-requests;requests-html2;await-requests;requests-extra;socketrequests;screenpy-requests;requestsabc-001A;jupyter-requests;requests-openapi;nbrequests;xrequests;requestes;fgrequests;crequests;many-requests;fed-requests;requestspro;requests-rust;requests-qwd;requestsockets;requests-counter;requests-reviewer;simple-requests;zymbit-trequests;esi-requests;deskaone-requests;requests-onshape;requests-sap;requests-hustauth;pandirequests;requests-spider;requests-runscope;grasspy-requests;faster-requests;mock-requests;requests-llnw-auth;trequests;apirequests;requests-ucloud;requestspr;notion-requests;chicagorequests;saferequests;parallel-requests;wild-requests;web3-requests;requests-dump;arcane-requests;chibi-requests;requests-aws;requests-sse;curequests;requests-handler;requests-crtauth;requests-magpie;tgrequests;bztt-requests;tf-requests;recuests;requests-aliyun;pymrequests;requests-etag;requests-iamauth;requests-plus;mstr-rest-requests;pycopy-uurequests;gqlrequests;notrequests;ja3requests;odigos-requests;scrapy-requests;requests-tor;requests2;requests-threads;requests-aeaweb;requests-builder;vk-requests;batch-requests;crawl-requests;newio-requests;pydantic-requests;requests-engine;dbrequests;triton-requests;requests-api;degree72-requests;rrquests;erequests;presto-requests;requestsaa;webrequests;ghrequests;twitter-requests;requests-raven;slow-requests;requests-hawk;mrequests;requests-request;playfulrequests;requests3;litecoin-requests;requests2hdd;autorequests;requestsredis;requests-ecp;yrequests;requests-dump2;requests-asserts;requestsRenderJs;dlorenc-requests;requests-h2;onionrequests;requests-pandas;cernrequests;pytest-requests;suds-requests;splitio-requests;shopify-requests;requssts;pg-requests;requests-tools;aiohttp-requests;Print-requests;requests-nber;requests-package;sparc.requests;reliable-requests;requests-default;careful-requests;requests-anon;requests-defaults;stealthy-requests;stealth-requests;requests-cloudkit;requests-safe;requests-from-file;pycopy-requests;pull-requests;srequests;aio-requests;requests-har;lambda-requests;requests-bce;req7ests;requests-debugger;awsrequests;requests-proxy;anon-requests;requests-scram;requestsping;requests-vzauth;PyGithub-requests;yaml-requests;pycopy-urequests;nanorequests;hyper-requests;cxyrequests;requests-chef;2022-requests;superrequests;requests-netdna;requestspwn;azure-requests;txrequests;request;libhttprequests;requests-utils;requestsgarant;pycurl-requests;requests-srv;requestsH;tornado-requests;requests-custom;requests-logger;selenium-requests;requests-foauth;bg-urequests;pub-requests;totororequests;gancio-requests;requestsdantic;cache-requests;requests-base-url;bitcoin-requests;yapi2requests;requests-download;requests-retry;requests-f5auth;myrequests;cloud-requests;oarepo-requests;dgut-requests;eureka-requests;requests5;requezts;http-requests;requests-base;evarequests;play-requests;drequests;requests2aiohttp;requests-core;pylint-requests;urequests;requests-xml;fast-requests;ruquests;openpgp-requests;drf-otp-requests;requests-lb;discord-requests;requests-tracker;exec-requests;requests-bearer;parse-requests;requests-iap;streamedrequests;requests-pprint;microrequests;influx-requests;drf-batch-requests;requests-ms-auth;atman-requests;ak-requests;hx-requests;aipkgs-requests;yc-requests;invenio-requests;devops-requests;requests-ftp;python-requests;requestscore;imath-requests;requests-htmlc;requests-viewer;requests-signer;requestez;requests-flask;requests-whaor;cli-requests;requests-forecast;facebookrequests;nav-requests;requests-oidc;multi-requests;wechat-requests;wsrequests;requests-abc;requests-limiter;requests-to-curl;monitor-requests;torequests;hrequests;retryrequests;rerequests;requests-jwt;gcloud-requests;curl2requests;requests-gcp;bulkrequests;graphql-requests;flask-requests;requests-doh;noseapp-requests;bw-requests;estela-requests;ks33requests;stripe-requests;requests-debug;site-requests;django-requests;asrequests;lyft-requests;roblox-requests;har2requests;panderequests;requests-client;requests-iap2;requests-google;httpsrequests;requestspool;advancedrequests;firerequests;requests-mock-df;flake8-requests;asyncrequests;requests-go;curl-requests;dsb-requests;kanirequests;requests99999999;rwquests;requests-2.32.3;requestsWS;nidhoggr-requests;jsrequests;zdppy-requests;maybach-requests;requesuts;requestsocket;asyncio-requests;better-requests;requests-rest;requestsplus;ligo-requests;jsonrpc-requests;torrequests;requests-crawler;requestsbankrko;requestsssssssssss;requests-rest-api;requests-jwtauth;requests-guard;turborequests;requests-hardened;browser2requests;requests-factory;requests-mauth;dukaan-requests;external-requests;arequests;requestsModel;requests-testing;httprequests;requests-extended;requesfs
certifi,cer;certified;certifi-icpbr;certifi-yandex;certificate-cli;cert;certifik8;certifie;certifikadas8;certifiable;syscertifi;certifi-debian;certifier;self-certifi;certificator;certifi-dmp;certificate-gen
packaging,colibri-packaging;tpypackaging;sphinx-packaging;packaging-splitter;packaging-demo-abhi;packaging-demo-bobo;love-packaging;PyPipackaging;product;packaging-utils;poetry-packaging;packagingxx;sample-packaging;packaging-adzone;packaging-demo-nice;packaging-coursdemo;packaging-demo-avr;packaging-demo;packaging-demo-eric;pip-packaging;packaging2;better-packaging;pypackaging;logilab-packaging;ffy00.packaging;packaging-dists;packaging-demo-puni;jaraco.packaging;pykaging;testing-packaging;pckaging;pyedge-packaging;jaraco-packaging;packaging-demo-nagan;packaging-priyal;avia-packaging;demo-packaging;packaging-example;elulalib-packaging;learnpypackaging;fun-packaging;packaging-demo-Dalia;test-packaging;packagingapi
idna,echidna;na;dna;Ekidna;jdna
charset-normalizer,gatsby-normalizer;csv-normalizer;cert-normalizer;charset;normalizer;dv-normalizer;urlnormalizer;t-normalizer;harset-normalizer
typing-extensions,pppextensions;requests-extensions;boto3-extensions;typing-aliases;typing-extension;typing-tools;micropython-typing;magnus-extensions;pytest-extensions;async-extensions;typing-ex;nbextensions;typing-exe;newrelic-extensions;pandas-extensions;databases-extensions;typing-arguments;drfextensions;tdextensions;enum-extensions;mkdocs-extensions;qt-extensions;runtime-typing;jk-typing;json-extensions;graphene-extensions;ppextensions;jupyterlab-extensions;yaml-extensions;grpc-extensions;dcextensions;pycopy-typing;redis-extensions;extensions;cdk-extensions;typing-json;dj-extensions;numpy-typing;ecommerce-extensions;minio-extensions
